season,week,away_team,home_team,home_win,edge_qb,edge_offense,edge_defense,edge_trenches,edge_injuries,edge_market,edge_turnovers,edge_form,edge_situational,edge_matchup,edge_coaching,home_win_probability_ml,ml_pick,actual_winner,correct,ml_win_probability,backtest_probability,models_agree_backtest,confidence_score_backtest,confidence_tier_backtest,backtest_correct
2025,1,TEN,DEN,1,0.2510118602358129,2.1362519157720192,2.1946643115189715,1.344557468373958,0.0,0.0,0.0753035580707438,0.0,0.75,-0.058412395746952,0.0,0.7577565784431121,DEN,DEN,1,0.7577565784431121,0.7577565784431121,False,76,ELITE,1
2025,1,SF,SEA,0,-0.1217611972047776,-0.1565821706328928,1.8306243904400104,0.5533022575890878,0.0,0.0,-0.0365283591614332,0.0,0.75,-1.9872065610729035,0.0,0.6040559583959704,SEA,SF,0,0.6040559583959704,0.6040559583959704,False,60,MEDIUM,0
2025,1,DET,GB,1,0.082249076866474,-1.1359990523347456,1.1864107659580188,-0.4950137968100415,0.0,0.0,0.0246747230599422,0.0,0.75,-2.3224098182927646,0.0,0.4554726916951787,DET,GB,0,0.5445273083048212,0.5445273083048212,False,54,PASS,0
2025,1,HOU,LAR,1,1.180437552754178,1.9552502718786664,-1.4040315042179563,0.4976033926932299,0.0,0.0,0.3541312658262533,0.0,0.75,3.359281776096623,0.0,0.6447541542731726,LAR,LAR,1,0.6447541542731726,0.6447541542731726,False,64,MEDIUM,1
2025,1,BAL,BUF,1,-0.8190526287620301,-0.1222269019097871,-1.670065588598878,-1.0066723192713856,0.0,0.0,-0.245715788628609,0.0,0.75,1.5478386866890907,0.0,0.4008462855514968,BAL,BUF,0,0.5991537144485032,0.5991537144485032,False,60,LOW,0
2025,1,MIN,CHI,0,-1.05695164929773,-0.9618852338116282,-1.287998824006188,-0.8586457753255311,0.0,0.0,-0.3170854947893189,0.0,0.75,0.3261135901945596,0.0,0.3851915586816401,MIN,MIN,1,0.6148084413183599,0.6148084413183599,False,61,MEDIUM,1
2025,2,WAS,GB,1,1.301323760277298,0.5424967466127789,0.0428490043380049,-0.6774935030892237,0.0,0.0,0.3903971280831894,0.1397238591312444,0.75,0.4996477422747741,0.0,0.5013876715303408,GB,GB,1,0.5013876715303408,0.5013876715303408,False,50,PASS,1
2025,2,CLE,BAL,1,2.5573533201565533,4.3227750843024495,0.1844850655786028,1.2526146401337863,0.0,0.0,0.7672059960469659,4.369008350565586,0.75,4.138290018723847,0.0,0.8518555503229862,BAL,BAL,1,0.8518555503229862,0.8518555503229862,False,85,ELITE,1
2025,2,JAX,CIN,1,0.4467625289327182,0.129549683237556,-0.2110504977714363,0.2677959257954648,0.0,0.0,0.1340287586798154,-2.61326144232384,0.75,0.3406001810089923,0.0,0.5132356371403709,CIN,CIN,1,0.5132356371403709,0.5132356371403709,False,51,PASS,1
2025,2,NYG,DAL,1,0.5561504805845061,1.3641893508207117,0.3662721901028016,0.6688999009696067,0.0,0.0,0.1668451441753518,2.7640232304360604,1.1785714285714286,0.9979171607179096,0.0,0.7268567087521052,DAL,DAL,1,0.7268567087521052,0.7268567087521052,False,73,STRONG,1
2025,2,CHI,DET,1,0.8483615938536335,1.9148519141945488,-0.6764059520229811,1.2775560446657592,0.0,0.0,0.25450847815609,0.0911342656026704,0.8928571428571428,2.5912578662175294,0.0,0.72522408764061,DET,DET,1,0.72522408764061,0.72522408764061,False,73,STRONG,1
